verification_service-1      | INFO:     172.18.0.1:59388 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:58448 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:58840 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:47518 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:38710 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:39848 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:41840 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:58848 - "GET /db/health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:44158 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:52334 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:40822 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:40618 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:60424 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:52344 - "GET /db/health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:47988 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:35196 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:48840 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:59566 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:53242 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:48840 - "GET /db/health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:49586 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:59800 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:44724 - "GET /health HTTP/1.1" 200 OK
decision_engine-1           | INFO:     172.18.0.1:37136 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:40854 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:59800 - "GET /db/health HTTP/1.1" 200 OK
postgres-1                  | 2025-10-27 14:26:17.343 UTC [55] LOG:  checkpoint starting: time
postgres-1                  | 2025-10-27 14:26:21.263 UTC [55] LOG:  checkpoint complete: wrote 40 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.913 s, sync=0.003 s, total=3.920 s; sync files=22, longest=0.001 s, average=0.001 s; distance=89 kB, estimate=466 kB
decision_engine-1           | INFO:     172.18.0.1:59004 - "GET /health HTTP/1.1" 200 OK
api_gateway-1               | INFO:     172.18.0.1:57058 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:60006 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:49852 - "GET /health HTTP/1.1" 200 OK
